chr22,39427085,39430402
chr22,35671474,35674765
chr22,21067501,21070879
chr21,10787894,10791180
chr21,37888313,37891735
chr22,8723914,8727242
chr21,2356541,2359615
chr21,14397458,14400685
chr22,26374608,26377980
chr21,43429654,43432818
chr21,38691530,38695855
chr22,17342576,17346231
chr21,6203456,6206662
chr21,499396,502473
chr22,15698475,15702566
chr22,41630392,41633806
chr22,37629012,37632315
chr22,1922708,1925880
chr22,14492758,14496958
chr21,17937150,17940415
chr21,42826140,42829309
chr22,43416647,43420003
chr22,18876255,18879743
chr21,25936330,25940142
chr22,11032935,11036171
chr21,31768676,31772181
chr22,14620667,14624783
chr21,21318196,21321531
chr22,3400395,3406363
chr22,49711068,49714155
chr22,46591877,46595003
chr22,17493923,17497112
chr22,40706556,40709797
chr22,42338305,42341939
chr22,33400131,33403565
chr22,849616,852709
chr21,43410017,43413269
chr22,28493845,28496992
chr22,39727239,39730544
chr22,50324279,50327605
chr21,11633688,11636926
chr22,33357367,33360483
chr21,4661102,4664288
chr21,15991454,15994859
chr22,35065904,35069206
chr22,8935513,8938651
chr22,15710311,15714127
chr21,18599428,18602812
chr21,34242071,34245255
chr22,24142790,24145950
chr22,2473726,2478416
chr22,38924174,38927481
chr22,48450079,48453462
chr22,21444506,21448270
chr22,10297226,10300727
chr22,5102074,5104834
chr21,29769033,29772534
chr21,21974792,21978288
chr21,32275343,32278437
chr21,8807943,8811484
chr22,49532024,49535491
chr22,32110612,32114071
chr22,48499353,48502577
chr22,7603227,7606512
chr22,4574582,4577736
chr22,20561878,20565039
chr21,29250562,29253922
chr21,99187,102248
chr22,44435224,44438450
chr21,14324537,14327800
chr22,22758313,22761526
chr22,27198370,27201495
chr22,33532663,33536079
chr22,36364354,36367721
chr21,44391464,44394842
chr21,3886050,3889184
chr22,20964050,20967431
chr22,24999598,25003219
chr21,26987234,26990548
chr21,13529785,13533162
chr22,33850396,33853951
chr21,17397922,17401245
chr22,38334483,38338234
chr22,38448143,38451608
chr21,43325090,43328148
chr22,47013784,47017396
chr22,15994761,15997939
chr21,38285373,38288759
chr21,37898752,37902173
chr21,29093589,29097145
chr22,14769206,14773297
chr22,21369429,21373015
chr21,15215511,15218736
chr22,47677471,47680601
chr21,43474040,43477394
chr22,22741586,22744789
chr21,27054623,27057871
chr21,6639656,6642899
chr21,11238040,11241838
chr22,18441403,18444582
chr21,32371417,32374814
chr21,8682506,8685728
chr22,47862869,47865953
chr21,27488030,27491436
chr22,7947207,7950468
chr21,11890709,11893981
chr22,19879591,19882838
chr22,5625517,5628331
chr21,16397517,16400728
chr21,19284946,19288526
chr21,83754,86877
chr21,22104070,22107453
chr21,36811909,36815285
chr21,35957014,35960317
chr21,7492385,7495797
chr21,30653028,30656616
chr22,8516525,8519932
chr22,2209011,2212102
chr21,182734,185830
chr21,27367788,27371066
chr22,33311836,33314985
chr21,28822031,28825478
chr22,49900204,49903481
chr21,18425512,18428730
chr22,5705212,5708336
chr22,24556697,24559851
chr22,17415216,17418482
chr22,32320723,32324190
chr22,27943546,27947045
chr22,39971003,39974171
chr22,6303270,6306448
chr22,23008004,23011355
chr22,28329614,28332717
chr21,9220673,9223964
chr21,4629502,4632319
chr22,19842739,19846018
chr21,40324833,40328479
chr21,30455926,30459364
chr21,36978243,36981484
chr22,20459627,20462961
